event_id,label,onset_crest,inrush_ratio,settle_frac,h2,h3,h4,h5,h6,h7,thd,steady_rms,steady_cov,steady_dur
1,Nutribullet,5.024,5.981,0.39,0.078,0.5709,0.0351,0.1818,0.0286,0.1277,0.6192,174.92,0.4466,5
1,Nutribullet,5.024,5.981,0.39,0.078,0.5709,0.0351,0.1818,0.0286,0.1277,0.6192,174.92,0.4466,5
2,Nutribullet,5.18,6.996,0.39,0.0089,0.5127,0.021,0.1666,0.0204,0.1391,0.5576,187.7,0.4094,6
3,Nutribullet,5.065,6.692,0.186,0.0487,0.5698,0.0274,0.1758,0.0115,0.128,0.6125,178.9,0.4063,6
4,Nutribullet,5.174,10.217,0.492,0.0533,0.5781,0.0195,0.1863,0.0192,0.1287,0.6238,191.06,0.3479,8
5,Nutribullet,5.174,9.795,0.475,0.0597,0.5886,0.0243,0.1918,0.0078,0.1371,0.6374,167.45,0.5153,4
6,Nutribullet,5.298,9.445,0.441,0.0592,0.5664,0.0186,0.1743,0.0045,0.1179,0.6074,166.88,0.5248,4
7,Nutribullet,5.258,10.345,0.373,0.0753,0.5977,0.0337,0.1825,0.0307,0.1276,0.6438,184.21,0.329,9
8,Nutribullet,5.118,12.08,0.593,0.0464,0.6016,0.0447,0.1731,0.022,0.0547,0.6321,163.18,0.4065,6
9,Nutribullet,5.178,11.264,0.542,0.0371,0.5835,0.0181,0.195,0.0102,0.1359,0.6315,171.2,0.442,5
10,Nutribullet,5.255,11.69,0.407,0.0712,0.6212,0.0336,0.1787,0.0213,0.0682,0.6551,194.72,0.1167,6
11,DysonCool,5.971,4.161,0.407,0.037,0.7542,0.0106,0.4172,0.0171,0.1588,0.8774,30.0,0.0,1
12,DysonCool,4.377,3.909,0.821,0.2503,3.1553,0.0701,0.5794,1.4884,0.2142,3.5525,21.3,0.0,1
13,DysonCool,4.127,1.336,0.127,0.3337,9.9824,0.1519,0.2283,4.9255,0.2405,11.1424,64.83,0.4026,4
14,DysonCool,4.11,1.329,0.127,0.1662,10.5538,0.2327,0.2714,6.1585,0.1229,12.2262,70.6,0.2908,7
15,DysonCool,4.09,1.481,0.164,0.0731,3.1554,0.0711,0.0281,0.5136,0.1354,3.2015,64.12,0.4063,4
16,DysonCool,4.512,1.494,0.127,0.7261,12.3882,0.3742,0.7364,2.3841,0.3963,12.6695,79.27,0.0111,6
17,DysonCool,4.247,1.485,0.127,0.2276,8.3457,0.1163,0.2931,4.3893,0.2393,9.4407,66.38,0.3615,5
18,DysonCool,4.292,1.444,0.164,0.1698,8.2971,0.0964,0.5108,4.4637,0.0535,9.4376,68.87,0.3148,6
19,DysonCool,4.493,1.562,0.127,0.2039,7.7595,0.2118,0.1211,4.8153,0.0554,9.1379,71.4,0.262,7
20,DysonCool,4.973,1.431,0.127,0.134,8.7283,0.1634,0.3525,5.2261,0.1136,10.1822,64.85,0.4287,4
21,DysonHot,2.313,1.239,0.214,0.4245,0.0214,0.1005,0.0212,0.0815,0.3768,0.583,612.05,0.5977,4
22,DysonHot,2.46,1.215,0.424,0.3859,0.2888,0.1077,1.7871,2.3983,0.3229,3.0485,685.1,0.4341,6
23,DysonHot,2.481,1.253,0.455,0.2091,0.387,0.0977,1.8063,1.4121,0.6064,2.414,771.16,0.4901,5
24,DysonHot,2.324,1.235,0.214,0.4172,0.0203,0.0832,0.033,0.0957,0.6428,0.7777,900.96,0.1077,5
25,DysonHot,2.268,1.244,0.25,0.4137,0.0497,0.0958,0.0213,0.1097,0.7014,0.829,843.75,0.1346,4
26,DysonHot,2.557,1.266,0.394,0.0189,0.9899,0.0214,1.388,0.7755,1.5968,2.4614,838.9,0.4026,7
27,DysonHot,2.57,1.212,0.424,0.3998,0.0759,0.0507,0.227,2.154,0.4343,2.2468,802.18,0.4405,6
28,DysonHot,2.436,1.219,0.455,0.2489,0.3808,0.1357,2.6479,0.1313,0.3066,2.7107,718.46,0.5097,5
29,DysonHot,2.569,1.219,0.455,0.24,0.4305,0.112,1.2736,0.6344,0.3047,1.5404,770.76,0.4896,5
30,DysonHot,2.224,1.195,0.25,0.4582,0.0551,0.0602,0.02,0.1546,0.6815,0.8399,648.87,0.6864,3
1,Toaster,1.925,1.035,0.222,0.1701,0.1245,0.0426,0.0057,0.0099,0.0095,0.2155,357.68,0.4745,5
2,Toaster,1.927,1.025,0.222,0.2099,0.186,0.0742,0.0291,0.0096,0.0182,0.2923,380.4,0.3915,7
3,Toaster,1.948,1.033,0.222,0.1771,0.1884,0.0339,0.0093,0.0092,0.0117,0.2614,371.2,0.423,6
4,Toaster,1.919,1.052,0.222,0.1012,0.1572,0.075,0.0332,0.0254,0.0176,0.2065,371.65,0.4226,6
5,Toaster,1.937,1.025,0.222,0.1269,0.2119,0.0364,0.0077,0.006,0.009,0.25,360.32,0.4627,5
6,Toaster,1.89,1.026,0.222,0.2168,0.2007,0.0247,0.0057,0.0117,0.023,0.2976,359.2,0.4702,5
7,Toaster,1.922,1.044,0.222,0.172,0.1436,0.0544,0.0219,0.0136,0.0088,0.2322,432.97,0.0521,6
8,Toaster,1.882,1.037,0.222,0.2354,0.1036,0.07,0.0252,0.0154,0.0216,0.269,382.23,0.3845,7
9,Toaster,1.906,1.027,0.222,0.2076,0.21,0.07,0.033,0.0076,0.014,0.3057,442.38,0.0069,5
10,Toaster,1.96,1.035,0.222,0.2582,0.2313,0.0234,0.0129,0.0188,0.0268,0.3492,443.48,0.0053,5
